;Mkt-RF;SMB;HML;RF
202005;5.57;2.40;-5.00;0.01
202006;2.45;2.67;-2.17;0.01
202007;5.83;-2.35;-1.44;0.01
202008;7.62;-0.20;-3.02;0.01
202009;-3.64;0.06;-2.72;0.01
202010;-2.08;4.34;4.25;0.01
202011;12.45;5.81;2.09;0.01
202012;4.63;5.01;-1.68;0.01
202101;-0.07;7.14;3.22;0.00
202102;2.81;2.02;7.20;0.00
202103;3.16;-2.33;7.35;0.00
202104;4.95;-3.19;-1.02;0.00
202105;0.30;-0.20;7.04;0.00
202106;2.74;1.70;-7.86;0.00
202107;1.34;-3.93;-1.79;0.00
202108;2.94;-0.32;-0.23;0.00
202109;-4.40;0.66;5.12;0.00
202110;6.63;-2.27;-0.53;0.00
202111;-1.58;-1.31;-0.37;0.00
202112;3.23;-1.63;3.26;0.01
202201;-6.16;-5.93;12.86;0.00
202202;-2.28;2.16;3.06;0.00
202203;3.08;-1.55;-1.90;0.00
202204;-9.41;-1.35;6.18;0.00
202205;-0.34;-1.84;8.44;0.03
202206;-8.40;2.07;-6.00;0.06
202207;9.57;2.84;-4.15;0.08
202208;-3.77;1.41;0.18;0.19
202209;-9.34;-0.76;0.03;0.19
202210;7.85;0.01;7.97;0.23
202211;4.65;-3.57;1.48;0.29
202212;-6.38;-0.76;1.34;0.33
202301;6.61;5.01;-3.94;0.35
202302;-2.57;1.05;-0.80;0.34
202303;2.48;-5.48;-9.05;0.36
202304;0.62;-3.37;-0.12;0.35
202305;0.34;1.60;-7.79;0.36
202306;6.46;1.49;-0.13;0.40
202307;3.21;2.05;4.06;0.45
202308;-2.36;-3.14;-1.15;0.45
202309;-5.23;-2.51;1.49;0.43
202310;-3.15;-3.86;0.20;0.47
202311;8.88;-0.10;1.67;0.44
202312;4.85;6.30;4.89;0.43
202401;0.73;-5.07;-2.38;0.47
202402;5.07;-0.24;-3.43;0.42
202403;2.84;-2.50;4.16;0.43
202404;-4.65;-2.37;-0.45;0.47
202405;4.32;0.55;-1.31;0.44
202406;2.80;-3.00;-3.36;0.41
202407;1.22;6.81;5.62;0.45
202408;1.60;-3.49;-1.10;0.48
202409;1.72;-0.13;-2.77;0.40
202410;-1.00;-0.99;0.86;0.39
202411;6.49;4.46;0.15;0.40
202412;-3.17;-2.71;-3.00;0.37
202501;2.80;-1.97;1.63;0.37
202502;-2.44;-5.79;4.91;0.33
202503;-6.39;-2.76;2.90;0.34
202504;-0.84;-0.59;-3.40;0.35
202505;6.06;0.70;-2.88;0.38
